req_id,llama_20251114T045113_20_argmax,deepseek_20251114T050830_20_argmax,match
20241,2,4,0
20483,3,2,0
20657,3,1,0
20768,2,3,0
21286,3,4,0
21379,4,2,0
21638,2,1,0
22500,4,0,0
22558,2,2,1
22597,1,2,0
22798,1,4,0
24471,4,4,1
24657,3,4,0
24740,0,0,1
25109,4,3,0
25247,2,1,0
25454,4,0,0
25898,1,0,0
25997,3,0,0
26517,1,4,0
26788,0,1,0
26898,2,2,1
26942,0,4,0
27510,4,3,0
28078,1,4,0
28158,1,4,0
28490,2,1,0
29169,1,2,0
29666,4,0,0
30056,2,2,1
30193,4,1,0
30228,3,3,1
30229,0,4,0
30252,4,4,1
30761,2,2,1
30956,2,3,0
31236,4,0,0
31299,3,4,0
32081,2,4,0
32166,3,4,0
32190,0,4,0
32570,3,4,0
32707,2,2,1
32829,1,3,0
33164,0,4,0
33198,2,3,0
33844,2,2,1
33984,4,0,0
34000,2,4,0
34356,2,3,0
34444,2,4,0
34717,0,4,0
35053,0,4,0
35236,3,4,0
35452,3,3,1
35519,2,4,0
35520,1,2,0
35549,0,0,1
35609,4,2,0
35739,4,0,0
35870,0,0,1
36089,2,2,1
36537,1,4,0
36543,2,2,1
36555,3,3,1
36597,2,3,0
36701,2,3,0
36748,3,4,0
36770,4,4,1
37153,1,3,0
37600,0,4,0
37773,0,2,0
37919,3,4,0
38088,0,1,0
38127,0,4,0
38187,4,0,0
38231,4,2,0
38453,2,4,0
38521,1,3,0
38987,3,3,1
39112,1,3,0
39382,4,1,0
39552,1,2,0
39696,0,0,1
39874,1,0,0
40272,4,2,0
40543,0,1,0
40935,2,4,0
41271,4,2,0
41530,0,2,0
41677,3,4,0
41680,3,1,0
41727,1,0,0
41761,1,3,0
41809,3,4,0
41813,1,1,1
41868,1,1,1
41900,0,3,0
42454,0,1,0
42581,2,3,0
42608,4,1,0
42660,1,3,0
42713,4,3,0
43073,1,4,0
43176,4,0,0
43211,2,3,0
43333,4,4,1
43430,0,0,1
43475,3,3,1
44002,2,3,0
44027,2,1,0
44260,3,4,0
44279,0,3,0
44348,0,1,0
44402,4,1,0
44820,4,1,0
44846,3,2,0
45594,0,4,0
46217,1,4,0
46236,3,4,0
46975,1,2,0
47144,4,2,0
47484,1,3,0
47561,1,0,0
47631,0,2,0
48104,2,3,0
48165,3,3,1
48397,2,3,0
48409,3,2,0
48451,0,0,1
48667,2,0,0
49519,3,0,0
49766,1,3,0
49778,1,2,0
49845,0,2,0
50056,1,2,0
50256,1,1,1
50295,1,3,0
50598,4,0,0
50635,3,3,1
50720,2,3,0
50763,4,0,0
50815,0,3,0
50870,4,0,0
50884,0,3,0
50966,3,4,0
51647,3,1,0
51672,2,2,1
52060,1,2,0
52279,0,3,0
52526,2,0,0
52527,0,0,1
52645,3,4,0
52717,4,3,0
52835,2,3,0
52854,4,0,0
52910,4,0,0
52936,4,0,0
52968,3,4,0
53140,2,3,0
53147,4,1,0
53210,0,2,0
53632,4,2,0
53797,3,4,0
53828,4,3,0
54230,0,0,1
54311,4,4,1
54674,1,3,0
54948,2,2,1
54959,1,2,0
55298,2,3,0
55350,4,4,1
55571,1,4,0
55591,1,1,1
55644,2,2,1
55839,2,4,0
56274,1,2,0
56334,2,2,1
56468,4,3,0
56511,3,1,0
56768,1,2,0
56965,4,4,1
57138,0,3,0
57147,4,3,0
57204,1,1,1
57465,3,3,1
57507,2,4,0
57528,0,1,0
57575,0,1,0
57655,4,0,0
57968,0,2,0
58096,4,0,0
58259,4,2,0
58394,1,2,0
58682,2,4,0
59041,2,1,0
59931,0,4,0
59965,1,2,0
60018,2,3,0
60204,2,3,0
60279,1,2,0
60314,4,4,1
60383,0,1,0
60391,1,4,0
60605,0,1,0
60722,2,3,0
60971,4,4,1
61292,2,1,0
61315,2,4,0
61514,0,3,0
62440,4,1,0
62908,3,2,0
63085,2,0,0
63335,1,2,0
63377,4,1,0
63459,2,3,0
63598,4,0,0
64033,3,4,0
64404,1,4,0
64529,4,3,0
64597,3,4,0
64643,0,1,0
64877,2,4,0
65115,1,4,0
65140,3,1,0
65597,0,0,1
66130,1,2,0
66157,2,1,0
66333,2,1,0
66362,4,2,0
66393,3,1,0
66415,1,1,1
67699,3,1,0
67843,4,2,0
68473,1,2,0
68584,3,4,0
68608,4,1,0
68612,1,4,0
68620,0,0,1
68957,0,0,1
69007,0,4,0
69357,1,0,0
69702,2,1,0
69769,4,0,0
69793,3,3,1
70043,2,1,0
71280,4,3,0
71416,3,0,0
71673,3,4,0
72242,4,2,0
72329,3,1,0
72440,1,4,0
72542,4,3,0
72611,2,1,0
72759,4,0,0
73248,0,0,1
73277,4,1,0
73513,4,4,1
73998,4,1,0
74104,1,3,0
74820,1,0,0
74904,2,4,0
75618,3,3,1
75738,0,0,1
75890,2,3,0
76442,0,0,1
76465,0,1,0
76555,0,1,0
76728,0,1,0
76855,2,3,0
77029,3,2,0
77085,4,1,0
77220,1,1,1
77259,1,2,0
77382,1,0,0
77408,3,2,0
77645,2,2,1
77783,3,1,0
77833,1,2,0
77859,2,0,0
78085,4,2,0
78150,2,1,0
78241,0,1,0
78447,4,2,0
78844,4,0,0
78922,0,0,1
78964,2,2,1
79096,0,1,0
79463,0,0,1
79604,2,1,0
79629,2,1,0
79734,1,1,1
79943,3,3,1
80037,4,4,1
80357,4,1,0
80709,3,0,0
80737,0,4,0
80799,0,1,0
80978,1,4,0
81077,2,1,0
81423,2,1,0
81600,2,0,0
81855,2,4,0
81896,3,0,0
82255,0,0,1
82619,0,3,0
82631,4,1,0
83854,4,0,0
84213,2,2,1
84617,0,0,1
84937,3,2,0
85075,2,0,0
85230,2,3,0
85333,1,1,1
85410,4,0,0
85429,3,2,0
85670,1,0,0
85671,4,3,0
86158,2,2,1
86258,2,1,0
86700,2,3,0
86776,3,1,0
86921,3,3,1
86999,1,4,0
87039,2,3,0
87070,0,1,0
87171,0,4,0
87638,3,1,0
87775,3,1,0
87869,0,1,0
88273,1,4,0
88329,3,2,0
88546,3,2,0
88737,0,3,0
88782,0,1,0
88899,4,1,0
88989,0,0,1
89008,3,4,0
89016,3,2,0
89303,4,3,0
89891,1,0,0
89962,3,2,0
90222,3,0,0
90429,1,1,1
90832,2,2,1
91011,2,2,1
91259,3,2,0
91421,1,1,1
91684,0,0,1
92061,4,2,0
92065,4,0,0
92834,2,4,0
92893,0,0,1
93126,0,0,1
93127,2,2,1
93468,2,4,0
93761,1,0,0
93782,1,1,1
94607,4,3,0
94844,3,4,0
94921,3,2,0
94959,1,2,0
95240,3,3,1
95612,4,1,0
95755,3,0,0
96213,4,1,0
96227,0,0,1
96614,4,1,0
97895,4,3,0
97935,1,4,0
98146,1,0,0
98153,2,1,0
98429,3,4,0
98550,0,2,0
99166,1,3,0
99247,4,0,0
99490,2,3,0
99945,3,0,0
99961,4,4,1
100013,4,0,0
100382,2,2,1
100474,4,0,0
100595,1,1,1
100904,1,1,1
101742,2,0,0
101928,3,0,0
102033,1,0,0
102068,4,3,0
102402,1,1,1
102687,3,0,0
102789,4,0,0
102985,0,1,0
103246,0,1,0
