req_id,qwen_20251111T025525_10_argmax,deepseek_20251112T144147_10_argmax,match
35549,3,0,0
35609,1,2,0
35739,0,0,1
35870,1,0,0
36089,3,2,0
36537,2,4,0
36543,3,2,0
36555,3,3,1
36597,3,3,1
36701,2,3,0
36748,3,4,0
36770,2,4,0
37153,2,3,0
37600,2,4,0
37773,2,3,0
37919,3,4,0
38088,3,1,0
38127,1,0,0
38187,2,0,0
38231,4,3,0
38453,2,4,0
38521,2,3,0
38987,2,3,0
39112,3,3,1
39382,1,1,1
39552,0,1,0
39696,0,0,1
39874,1,0,0
40272,1,2,0
40543,0,1,0
40935,1,2,0
41271,4,2,0
41530,3,3,1
41677,3,4,0
41680,1,1,1
41727,1,0,0
41761,4,3,0
41809,3,4,0
41813,4,1,0
41868,0,2,0
41900,0,3,0
42454,1,1,1
42581,2,3,0
42608,1,1,1
42660,4,2,0
42713,1,3,0
43073,3,4,0
43176,0,0,1
43211,3,3,1
43333,2,4,0
43430,0,0,1
43475,3,3,1
44002,3,3,1
44027,2,1,0
44260,3,4,0
44279,3,0,0
44348,3,1,0
44402,3,2,0
44820,1,1,1
44846,3,3,1
45594,4,4,1
46217,2,4,0
46236,3,4,0
46975,2,3,0
47144,4,2,0
47484,2,3,0
47561,1,0,0
47631,3,4,0
48104,1,3,0
48165,2,3,0
48397,3,3,1
48409,4,1,0
48451,0,0,1
48667,0,0,1
49519,1,0,0
49766,4,3,0
49778,2,2,1
49845,3,2,0
50056,4,2,0
50256,1,1,1
50295,1,3,0
50598,1,0,0
50635,3,2,0
50720,4,3,0
50763,1,0,0
50815,2,0,0
50870,0,0,1
50884,2,2,1
50966,2,4,0
51647,2,0,0
51672,2,2,1
52060,2,2,1
52279,0,3,0
52526,2,0,0
52527,0,2,0
52645,2,4,0
52717,1,3,0
52835,3,4,0
52854,4,1,0
52910,2,0,0
52936,4,0,0
52968,1,4,0
53140,3,3,1
53147,1,1,1
53210,4,2,0
53632,4,3,0
53797,3,4,0
53828,2,2,1
54230,0,0,1
54311,1,4,0
54674,1,1,1
54948,3,2,0
54959,2,2,1
55298,3,2,0
55350,0,4,0
55571,2,4,0
55591,0,1,0
55644,2,1,0
55839,3,4,0
56274,2,0,0
56334,4,3,0
56468,2,3,0
56511,0,0,1
56768,2,2,1
56965,4,4,1
57138,0,3,0
57147,0,3,0
57204,0,1,0
57465,3,3,1
57507,2,4,0
57528,1,1,1
57575,3,1,0
57655,0,0,1
57968,1,0,0
58096,2,0,0
58259,3,2,0
58394,1,2,0
58682,4,3,0
59041,2,1,0
59931,3,4,0
59965,0,3,0
60018,3,3,1
60204,3,2,0
60279,4,3,0
60314,1,4,0
60383,0,1,0
60391,3,4,0
60605,3,1,0
60722,3,3,1
60971,3,4,0
61292,4,2,0
61315,3,4,0
61514,1,3,0
62440,1,1,1
62908,0,0,1
63085,3,0,0
63335,2,2,1
63377,0,1,0
63459,3,3,1
63598,2,0,0
64033,3,3,1
64404,2,4,0
64529,0,3,0
64597,3,4,0
64643,0,1,0
64877,3,3,1
65115,4,4,1
65140,4,1,0
65597,0,0,1
66130,1,2,0
66157,1,1,1
66333,3,4,0
66362,2,1,0
66393,0,1,0
66415,1,0,0
67699,3,2,0
67843,1,2,0
68473,4,2,0
68584,2,0,0
68608,4,0,0
68612,1,4,0
68620,0,0,1
68957,4,1,0
69007,4,4,1
69357,0,0,1
69702,0,1,0
69769,2,0,0
69793,1,1,1
70043,1,1,1
71280,0,3,0
71416,1,0,0
71673,3,4,0
72242,0,2,0
72329,4,1,0
72440,2,4,0
72542,1,3,0
72611,4,0,0
72759,0,0,1
73248,3,3,1
73277,4,1,0
73513,4,4,1
73998,4,1,0
74104,1,2,0
74820,4,0,0
74904,3,2,0
75618,0,3,0
75738,4,0,0
75890,4,2,0
76442,1,0,0
76465,2,2,1
76555,1,0,0
76728,1,1,1
76855,1,3,0
77029,4,2,0
77085,2,1,0
77220,1,1,1
77259,1,2,0
77382,0,0,1
77408,0,2,0
77645,1,2,0
77783,4,1,0
77833,0,2,0
77859,0,0,1
78085,0,2,0
78150,0,1,0
78241,0,0,1
78447,1,2,0
78844,0,0,1
78922,0,0,1
78964,0,2,0
79096,0,1,0
79463,0,0,1
79604,1,1,1
79629,0,1,0
79734,4,3,0
79943,4,3,0
80037,2,4,0
80357,0,1,0
80709,0,0,1
80737,4,4,1
80799,4,1,0
80978,3,4,0
81077,1,1,1
81423,1,1,1
81600,3,1,0
81855,4,4,1
81896,0,0,1
82255,0,0,1
82619,1,3,0
82631,1,1,1
83854,4,0,0
84213,4,2,0
84617,0,1,0
84937,4,2,0
85075,1,0,0
85230,2,3,0
85333,0,1,0
85410,0,0,1
85429,4,2,0
85670,0,0,1
85671,2,3,0
86158,4,1,0
86258,1,1,1
86700,1,3,0
86776,3,1,0
86921,3,2,0
86999,0,3,0
87039,2,3,0
87070,0,1,0
87171,0,3,0
87638,0,1,0
87775,1,1,1
87869,0,0,1
88273,2,4,0
88329,0,3,0
88546,1,2,0
88737,2,3,0
88782,4,1,0
88899,0,1,0
88989,4,0,0
89008,4,1,0
89016,0,3,0
89303,1,4,0
89891,1,0,0
89962,4,1,0
90222,3,0,0
90429,4,1,0
90832,1,2,0
91011,4,2,0
91259,4,2,0
91421,1,1,1
91684,3,0,0
92061,4,2,0
92065,4,0,0
92834,1,4,0
92893,1,0,0
93126,3,0,0
93127,2,2,1
93468,1,4,0
93761,1,0,0
93782,1,1,1
94607,2,3,0
94844,3,4,0
94921,3,2,0
94959,1,1,1
95240,3,3,1
95612,4,1,0
95755,3,0,0
96213,2,3,0
96227,0,0,1
96614,2,3,0
97895,4,3,0
97935,1,4,0
98146,4,0,0
98153,1,1,1
98429,4,4,1
98550,0,2,0
99166,1,3,0
99247,0,0,1
99490,4,3,0
99945,4,0,0
99961,0,4,0
100013,0,0,1
100382,2,2,1
100474,0,0,1
100595,1,1,1
100904,4,1,0
101742,2,0,0
101928,4,0,0
102033,1,4,0
102068,4,3,0
102402,0,1,0
102687,0,0,1
102789,4,0,0
102985,0,1,0
103246,1,1,1
