req_id,llama_20251110T073554_10_argmax,qwen_20251111T025525_10_argmax,match
72242,4,0,0
72329,3,4,0
72440,1,2,0
72542,4,1,0
72611,2,4,0
72759,4,0,0
73248,0,3,0
73277,0,4,0
73513,4,4,1
73998,4,4,1
74104,1,1,1
74820,1,4,0
74904,2,3,0
75618,3,0,0
75738,0,4,0
75890,1,4,0
76442,0,1,0
76465,0,2,0
76555,0,1,0
76728,0,1,0
76855,2,1,0
77029,3,4,0
77085,2,2,1
77220,1,1,1
77259,1,1,1
77382,4,0,0
77408,1,0,0
77645,1,1,1
77783,3,4,0
77833,1,0,0
77859,2,0,0
78085,4,0,0
78150,2,0,0
78241,0,0,1
78447,4,1,0
78844,4,0,0
78922,0,0,1
78964,2,0,0
79096,3,0,0
79463,0,0,1
79604,4,1,0
79629,2,0,0
79734,1,4,0
79943,0,4,0
80037,4,2,0
80357,4,0,0
80709,3,0,0
80737,0,4,0
80799,0,4,0
80978,1,3,0
81077,2,1,0
81423,1,1,1
81600,0,3,0
81855,2,4,0
81896,3,0,0
82255,0,0,1
82619,0,1,0
82631,4,1,0
83854,4,4,1
84213,2,4,0
84617,0,0,1
84937,3,4,0
85075,2,1,0
85230,2,2,1
85333,1,0,0
85410,4,0,0
85429,3,4,0
85670,0,0,1
85671,4,2,0
86158,2,4,0
86258,2,1,0
86700,2,1,0
86776,3,3,1
86921,3,3,1
86999,1,0,0
87039,2,2,1
87070,0,0,1
87171,0,0,1
87638,0,0,1
87775,3,1,0
87869,4,0,0
88273,3,2,0
88329,3,0,0
88546,3,1,0
88737,0,2,0
88782,0,4,0
88899,4,0,0
88989,0,4,0
89008,3,4,0
89016,3,0,0
89303,4,1,0
89891,0,1,0
89962,3,4,0
90222,2,3,0
90429,1,4,0
90832,3,1,0
91011,3,4,0
91259,0,4,0
91421,1,1,1
91684,0,3,0
92061,4,4,1
92065,4,4,1
92834,2,1,0
92893,0,1,0
93126,0,3,0
93127,2,2,1
93468,3,1,0
93761,1,1,1
93782,0,1,0
94607,4,2,0
94844,3,3,1
94921,3,3,1
94959,1,1,1
95240,1,3,0
95612,1,4,0
95755,3,3,1
96213,4,2,0
96227,0,0,1
96614,4,2,0
97895,4,4,1
97935,1,1,1
98146,1,4,0
98153,2,1,0
98429,3,4,0
98550,4,0,0
99166,1,1,1
99247,4,0,0
99490,2,4,0
99945,3,4,0
99961,0,0,1
100013,4,0,0
100382,2,2,1
100474,4,0,0
100595,4,1,0
100904,1,4,0
101742,2,2,1
101928,3,4,0
102033,1,1,1
102068,4,4,1
102402,1,0,0
102687,0,0,1
102789,4,4,1
102985,0,0,1
103246,0,1,0
